response,group1,group2
72.61844113985082,a,d
64.60363446438316,b,e
75.04694302257094,c,f
64.8279462991316,a,d
70.4563818668252,b,e
64.52187884740717,c,f
66.29832441369564,a,d
69.35799744967586,b,e
78.40258081207834,c,f
67.36858571579828,a,d
68.76971220180921,b,e
71.84652171192177,c,f
69.81888362471601,a,d
74.41115613241642,b,e
70.84989140180934,c,f
72.49059797379032,a,d
69.43559260728894,b,e
72.94911352691096,c,f
65.3966616947589,a,d
74.50908032568054,b,e
67.33845711460515,c,f
72.164138596090865,a,d
70.7735492270675,b,e
72.22844845913284,c,f
68.97895591433938,a,d
70.18882846762399,b,e
67.56630256569093,c,f
67.37095542540793,a,d
63.98766063826381,b,e
69.02740460717247,c,f
69.35110300618581,a,d
74.7051186917749,b,e
66.13059267918413,c,f
72.87252481483938,a,d
67.23074587237683,b,e
72.67090246796387,c,f
65.54912550436043,a,d
70.71316983721717,b,e
73.44587382973424,c,f
69.16828246897673,a,d
71.03434391811768,b,e
67.25619317053533,c,f
77.40623194169797,a,d
70.69107900836075,b,e
70.03492300219231,c,f
69.11675366700942,a,d
73.82054813513905,b,e
67.79134915893422,c,f
66.82743603418793,a,d
66.45809858108804,b,e
66.36198694992245,c,f
71.36902600565902,a,d
57.26025928964833,b,e
72.66471384878986,c,f
71.53441310587579,a,d
66.16165377747389,b,e
70.4379031511444,c,f
62.050029485138964,a,d
76.65959167426364,b,e
66.6587591810407,c,f
68.3449730821311,a,d
75.20810538244152,b,e
66.03669392735173,c,f
64.68900237790417,a,d
68.54022798770788,b,e
73.99710902933639,c,f
69.5648493204591,a,d
64.58520692027402,b,e
68.59760867934095,c,f
70.36785256496168,a,d
77.46663964528352,b,e
75.64758711638653,c,f
70.59496154736887,a,d
66.6679569270763,b,e
72.30208539086215,c,f
67.17650711848573,a,d
67.10017893570118,b,e
69.05222663690289,c,f
78.63914162672879,a,d
71.11803943367083,b,e
72.7110241305981,c,f
72.57542404367832,a,d
70.58099895541702,b,e
71.97175912941009,c,f
71.31526636335578,a,d
72.88121023405337,b,e
73.18322982977965,c,f
69.50868621794696,a,d
66.21764343366304,b,e
70.79559779241127,c,f
69.73157356310185,a,d
68.73312184107542,b,e
68.87312022594354,c,f
66.95719337067082,a,d
66.89502471395755,b,e
69.22214404102228,c,f
71.56532306337792,a,d
68.63547353499717,b,e
66.6772685860527,c,f
72.3092405356728,a,d
67.34872832243369,b,e
65.36578307066083,c,f
75.65828041703102,a,d
66.68821415425067,b,e
73.13409352018354,c,f
68.72609350568979,a,d
70.23567515536608,b,e
68.8452275436347,c,f
67.16093462282208,a,d
68.01136081535137,b,e
72.24197707906536,c,f
74.15216389193705,a,d
70.05422857234737,b,e
