response,group1,group2
81.29809733815787,a,d
80.18883485810909,b,e
79.60436734646414,c,f
79.40202060549746,a,d
77.52569927067316,b,e
83.86521920013362,c,f
82.97391266240284,a,d
74.92362624878228,b,e
73.55223477259005,c,f
84.14737683105541,a,d
77.62192028948812,b,e
83.46348423698218,c,f
81.57068770318728,a,d
79.67063364861949,b,e
86.07069191498398,c,f
79.75269883252113,a,d
82.64132044953062,b,e
81.43798361811533,c,f
76.29212707100152,a,d
73.41322976185012,b,e
83.71785259482546,c,f
82.16683165597507,a,d
78.57542678677342,b,e
70.38122607171402,c,f
80.24419510382246,a,d
82.73986603252476,b,e
76.54938189996753,c,f
91.187627530931593,a,d
79.5494675635867,b,e
75.60207221897664,c,f
73.64138939707541,a,d
76.51601807233696,b,e
79.94811760849348,c,f
81.98810709549436,a,d
73.20354975547362,b,e
78.33821806840605,c,f
75.89435849563698,a,d
76.31765241976322,b,e
84.86777871976372,c,f
92.45637255998975,a,d
75.2155913702234,b,e
82.84952700346972,c,f
81.27154546407895,a,d
75.41376806014311,b,e
71.1899258604517,c,f
85.14746021312133,a,d
76.36620759504447,b,e
82.94614752234241,c,f
77.4192276592935,a,d
77.43841049887759,b,e
77.90416750037392,c,f
80.72392778504232,a,d
78.86097934581156,b,e
87.81215892673744,c,f
81.90351676821514,a,d
81.46571285304987,b,e
80.18036673542827,c,f
74.75824942118457,a,d
81.43630632918844,b,e
73.22219548913318,c,f
79.8260051773551,a,d
81.79185658201264,b,e
76.9781773348682,c,f
87.6881430192884,a,d
70.76498510214616,b,e
71.54044370643618,c,f
81.22786640055915,a,d
83.08732817690573,b,e
84.41530058553685,c,f
79.5387052181093,a,d
71.52451170020358,b,e
83.50231001315959,c,f
81.86975552957244,a,d
79.99249368951008,b,e
79.36274280484089,c,f
88.71127599583453,a,d
78.55392915558782,b,e
83.58826745882622,c,f
76.1103695409437,a,d
78.33623439228398,b,e
82.67419543735033,c,f
79.83982555894157,a,d
86.21914104567624,b,e
75.2014067186814,c,f
79.86949312874358,a,d
75.03323122722713,b,e
75.94711818809695,c,f
82.40215824703783,a,d
78.65840444574653,b,e
77.43964847491735,c,f
80.64388170117459,a,d
82.59695929096262,b,e
75.7141886716648,c,f
82.30228196938346,a,d
83.46635591631653,b,e
77.86475736151338,c,f
79.64580221018515,a,d
85.65802886359911,b,e
81.78784996299783,c,f
77.23350504022416,a,d
80.73441323535894,b,e
75.54320657356254,c,f
76.95029636503195,a,d
86.54490514420033,b,e
84.82197620087162,c,f
85.59573384431218,a,d
75.30635729397908,b,e
87.77917402016938,c,f
79.58750052938812,a,d
81.50141432131782,b,e
80.82253279465061,c,f
77.21699711522444,a,d
84.34244503678579,b,e
79.43744506280076,c,f
78.74026420777639,a,d
81.49942693953999,b,e
78.83845675123051,c,f
76.36487797740358,a,d
79.12517040927509,b,e
74.97367844902483,c,f
82.6889378743097,a,d
85.2512750453731,b,e
77.69137866098434,c,f
86.01987081028919,a,d
80.1028422841071,b,e
82.92514583513247,c,f
82.83964077721997,a,d
81.52904563322272,b,e
77.46830093213356,c,f
78.60086884448803,a,d
77.71323883967717,b,e
78.40490765534481,c,f
80.95869493949385,a,d
84.37673225674335,b,e
79.7660005352024,c,f
80.93966589097205,a,d
86.29815596502561,b,e
77.51358790276585,c,f
84.45233137730587,a,d
76.41193172246459,b,e
87.0339761353298,c,f
79.60304732090461,a,d
77.87147462790708,b,e
76.4607476497214,c,f
83.19305640571005,a,d
77.96077121493217,b,e
77.79483200694914,c,f
84.81048666973871,a,d
81.44696291919512,b,e
75.45366743784729,c,f
86.42498164367424,a,d
82.41298101118285,b,e
81.4170683819814,c,f
85.3227767024819,a,d
86.52304976347892,b,e
79.43079584060513,c,f
81.509096102454,a,d
82.8561598154277,b,e
82.1841131287379,c,f
78.98670324024813,a,d
76.69108983340091,b,e
84.59600262264642,c,f
91.18321994248443,a,d
80.94655673053141,b,e
80.52959294588591,c,f
78.013450787195,a,d
79.47251289018928,b,e
71.68426271236608,c,f
81.95655057628039,a,d
79.0039114604158,b,e
75.44310302851886,c,f
83.90043618798785,a,d
75.89338787000658,b,e
82.15030801566641,c,f
78.31711714374758,a,d
82.58820045947742,b,e
79.90832899438158,c,f
76.51176020207221,a,d
79.54982015819138,b,e
87.63641569602503,c,f
78.01510613590646,a,d
70.56055336804545,b,e
79.8636160159936,c,f
82.38706974899021,a,d
82.78743996718906,b,e
83.38051947279277,c,f
82.87816273788664,a,d
78.45701129941682,b,e
83.89709950391016,c,f
79.20214714967494,a,d
79.4742209582441,b,e
79.42938153983437,c,f
75.4873110001831,a,d
83.3851423815249,b,e
75.393735812324607,c,f
77.61222182606149,a,d
80.30160974552923,b,e
80.41460120347129,c,f
82.46128253915114,a,d
89.49395463907472,b,e
80.87164278714468,c,f
79.6281428883686,a,d
87.42976472738374,b,e
86.71928034796215,c,f
77.77682938261923,a,d
73.06348948462573,b,e
81.14922167665952,c,f
80.09978682452976,a,d
79.25568385423492,b,e
79.16484356350814,c,f
80.92764228763312,a,d
74.54304343524495,b,e
76.3524580737641,c,f
77.35212658965919,a,d
81.80360499918946,b,e
84.74617254639003,c,f
82.02494353707509,a,d
73.49543869933761,b,e
79.0258022852985,c,f
82.43353825809366,a,d
72.80530537275122,b,e
78.08212357316647,c,f
67.81841926843263,a,d
78.25766889815495,b,e
82.05440038304846,c,f
77.01594174262011,a,d
77.76430221887986,b,e
80.98021199195016,c,f
77.24152827258693,a,d
86.24955338452982,b,e
81.1118653155857,c,f
70.00603638711621,a,d
79.47854964065787,b,e
81.28256525919709,c,f
85.5385682502455,a,d
69.10653275879683,b,e
74.78618458072083,c,f
83.24634423157865,a,d
79.09566147643746,b,e
75.93294658507386,c,f
79.14347506176911,a,d
80.17147601224856,b,e
81.96327431038263,c,f
82.19480004062909,a,d
81.06586178362387,b,e
78.49353133081453,c,f
76.40536210194307,a,d
79.66666105362515,b,e
72.87612864589393,c,f
77.6817100474434,a,d
78.43769908206669,b,e
79.60733672439896,c,f
84.24296012165351,a,d
77.05325560894045,b,e
74.91953139603997,c,f
76.89366653890751,a,d
84.59636949095646,b,e
77.31953391075058,c,f
85.45710340887302,a,d
77.37085750738794,b,e
86.63907539145036,c,f
86.40563299591692,a,d
79.84880500062528,b,e
84.70639902869213,c,f
77.39570191573391,a,d
73.77849139256563,b,e
79.36453365917087,c,f
76.58670545353634,a,d
83.1169119049578,b,e
80.81523941323631,c,f
80.90652265593283,a,d
81.57859446703351,b,e
79.87527008711619,c,f
80.00830966103734,a,d
85.02893773603371,b,e
82.2559438236432,c,f
79.30519305777308,a,d
82.82948820103576,b,e
77.27063798443083,c,f
73.79504435856664,a,d
88.90390105530251,b,e
79.71848361059811,c,f
79.20195080241176,a,d
74.77712993086027,b,e
77.24305824778118,c,f
80.9907598223186,a,d
73.97201511851696,b,e
75.25321980489821,c,f
76.33447163584336,a,d
80.82312069421629,b,e
80.74520890298238,c,f
77.61275283718906,a,d
78.17627908281673,b,e
82.58222486548081,c,f
81.66334423049892,a,d
81.18383978328984,b,e
82.63570937720178,c,f
82.98999196309781,a,d
79.40460698798643,b,e
74.34365606035222,c,f
